gene_id,gene_name,r,p,fdr
XLOC_022265,XLOC_022265,-0.238,0.0008924946644624662,0.1395
XLOC_009102,XLOC_009102,0.238,0.0008949573404840057,0.1395
FBgn0003074,Pgi,0.238,0.0008955606265232873,0.1395
FBgn0265915,FBgn0265915,0.238,0.000897036869138234,0.1395
FBgn0020235,ATPsyn-gamma,0.238,0.0009069555018703849,0.14
FBgn0085345,CG34316,-0.237,0.0009188966975449345,0.1405
FBgn0039635,CG11876,0.237,0.0009243481077742261,0.1405
FBgn0016122,Acer,0.237,0.0009423588112678309,0.1422
FBgn0036381,CG8745,0.236,0.0009676861805848077,0.1438
FBgn0037646,CAHbeta,0.236,0.0009742191034028398,0.1438
FBgn0261514,nimA,-0.236,0.0009792476994949506,0.1438
FBgn0001989,l(2)35Di,0.236,0.0009873990163730278,0.1438
XLOC_013141,XLOC_013141,-0.236,0.000988312037444427,0.1438
XLOC_016612,XLOC_016612,-0.235,0.0010312267028284733,0.1473
XLOC_009577,XLOC_009577,-0.235,0.0010314297208905549,0.1473
FBgn0004797,mdy,0.235,0.001033717626320775,0.1473
XLOC_007240,XLOC_007240,-0.235,0.001045213082520478,0.1479
FBgn0038271,CG3731,0.235,0.001055403923260236,0.1481
FBgn0038072,CG6225,0.234,0.0010835055399668909,0.1481
FBgn0034076,Jhedup,0.234,0.0010852374027853337,0.1481
FBgn0030326,CG2444,0.234,0.0010856385120584233,0.1481
FBgn0260006,drd,0.234,0.001086509465706582,0.1481
FBgn0029687,Vap-33-1,-0.234,0.0010900579574061407,0.1481
FBgn0005533,RpS17,0.233,0.0011269651662631536,0.1521
FBgn0030853,CG5703,0.233,0.001152640836174769,0.1545
FBgn0038834,RpS30,0.233,0.0011671315863851991,0.1551
FBgn0037615,CG11760,0.232,0.0011787256311968752,0.1551
FBgn0035445,CG12014,0.232,0.0011796629242638015,0.1551
FBgn0014388,sty,-0.232,0.001191061791140346,0.1552
FBgn0000442,Pkg21D,0.232,0.001195775977383083,0.1552
FBgn0031491,alpha4GT1,0.231,0.001235433255732458,0.1573
XLOC_030021,XLOC_030021,0.231,0.0012365013986719458,0.1573
FBgn0039358,CG5028,0.231,0.0012618133286176267,0.1573
FBgn0000721,for,0.231,0.001263618633050359,0.1573
XLOC_025746,XLOC_025746,0.231,0.0012833195028033313,0.1573
FBgn0040773,CoVIIc,0.231,0.0012889973034819287,0.1573
FBgn0020388,Pcaf,0.231,0.0012963404170421755,0.1573
FBgn0085237,CG34208,0.231,0.0012970914979515964,0.1573
FBgn0027590,GstE12,0.23,0.0013085639620895278,0.1573
FBgn0037848,Tsp86D,-0.23,0.001310225054870121,0.1573
FBgn0261859,CG42788,0.23,0.0013205309514988009,0.1573
FBgn0029896,CG3168,-0.23,0.001325401361405379,0.1573
FBgn0001091,Gapdh1,0.23,0.0013264097865995652,0.1573
FBgn0266810,FBgn0266810,-0.23,0.0013290013161006335,0.1573
FBgn0022382,Pka-R2,-0.23,0.0013358073850300506,0.1573
FBgn0050281,CG30281,0.23,0.001341239594062951,0.1573
FBgn0000504,dsx,-0.23,0.0013432971297285294,0.1573
XLOC_025842,XLOC_025842,0.23,0.0013510009108951306,0.1573
FBgn0037094,CG7611,0.229,0.0013679230935122462,0.1575
FBgn0034432,CG7461,0.229,0.0013682956908073135,0.1575
FBgn0015380,drl,0.229,0.0013837236384483828,0.1582
FBgn0030482,CG1673,-0.229,0.0013997429127721411,0.1582
XLOC_027904,XLOC_027904,-0.229,0.0014035959099874575,0.1582
FBgn0036887,CG9231,0.229,0.0014053959749873322,0.1582
FBgn0028336,l(1)G0255,0.228,0.0014433383050187997,0.1616
FBgn0034766,Obp59a,0.228,0.001465940635104811,0.1632
FBgn0017567,ND23,0.228,0.0014852092321303567,0.1645
XLOC_013932,XLOC_013932,-0.227,0.0015250751360484543,0.1671
FBgn0031925,Cyp4d21,-0.227,0.0015333276642913198,0.1671
FBgn0040336,Seipin,0.227,0.0015337175423568012,0.1671
FBgn0259935,CG42458,-0.227,0.001555657644890512,0.1686
FBgn0011361,mtacp1,0.227,0.0015694613164332256,0.1692
FBgn0037488,CG14607,0.226,0.0015867151154874857,0.1702
FBgn0029785,RpL35,0.226,0.001596947298272858,0.1703
XLOC_023482,XLOC_023482,-0.226,0.001617768622394188,0.1703
FBgn0046685,Wsck,0.226,0.001618275107374804,0.1703
XLOC_018803,XLOC_018803,0.226,0.001629548792668216,0.1703
FBgn0004507,GlyP,0.226,0.0016300542862512535,0.1703
FBgn0261608,RpL37A,0.226,0.001650670326400184,0.1703
XLOC_021521,XLOC_021521,-0.225,0.0016686921978363877,0.1703
FBgn0037882,CG17187,0.225,0.0016688634082869052,0.1703
XLOC_020609,XLOC_020609,-0.225,0.0016697978132985574,0.1703
FBgn0030605,CG5548,0.225,0.0016713541702060802,0.1703
