gene_id,gene_name,r,p,fdr
FBgn0026620,tacc,-0.204,0.009235455885227764,0.9452
FBgn0004854,B-H2,-0.204,0.009251872178481947,0.9452
FBgn0264704,CR43973,0.204,0.009305806698369536,0.9452
FBgn0035929,CG13311,-0.204,0.009341849921160047,0.9452
XLOC_032038,XLOC_032038,-0.203,0.009584226794955337,0.9452
XLOC_020510,XLOC_020510,0.203,0.009634343951542503,0.9452
FBgn0027583,CG7601,0.203,0.00967805139904456,0.9452
FBgn0260990,yata,0.203,0.009678061943006475,0.9452
XLOC_028688,XLOC_028688,0.203,0.009715477878476722,0.9452
FBgn0264561,Glg1,0.203,0.009724189016744695,0.9452
FBgn0052313,CG32313,-0.202,0.009833636452110172,0.9452
XLOC_029644,XLOC_029644,0.202,0.009836126689726912,0.9452
FBgn0264448,CR43866,0.202,0.009856009557961594,0.9452
XLOC_003076,XLOC_003076,-0.202,0.00986728237926709,0.9452
FBgn0050009,CR30009,-0.202,0.0098731908568721,0.9452
FBgn0010019,Cyp4g1,-0.202,0.010044201240162946,0.9452
FBgn0011770,Gip,-0.201,0.010157757809453554,0.9452
FBgn0037195,CG11226,-0.201,0.010264353976855222,0.9452
FBgn0034512,CG18067,-0.201,0.01028895370141288,0.9452
FBgn0050035,Tret1-1,-0.201,0.010425793123301781,0.9452
XLOC_026769,XLOC_026769,-0.2,0.010569412121404834,0.9452
FBgn0053958,CG33958,-0.2,0.010586044962521038,0.9452
FBgn0030251,CG2145,-0.2,0.010602447408116363,0.9452
FBgn0266691,FBgn0266691,0.2,0.01072774108975102,0.9452
FBgn0038631,CG7695,-0.2,0.010742987816741847,0.9452
XLOC_028483,XLOC_028483,-0.2,0.010781121811602968,0.9452
FBgn0051262,CG31262,0.2,0.01088435325620893,0.9452
FBgn0035933,CG13309,-0.2,0.01091652173369918,0.9452
XLOC_018132,XLOC_018132,0.2,0.010917209083258494,0.9452
XLOC_009482,XLOC_009482,-0.199,0.010936581079632043,0.9452
FBgn0085302,CG34273,-0.199,0.010939669654334886,0.9452
FBgn0041588,ligatin,0.199,0.010950400739754378,0.9452
FBgn0046258,CG12880,0.199,0.010956927599661043,0.9452
XLOC_011968,XLOC_011968,0.199,0.010979732856007162,0.9452
XLOC_032352,XLOC_032352,-0.199,0.011060051612206167,0.9452
XLOC_018948,XLOC_018948,0.198,0.011418230658849724,0.9452
FBgn0266918,FBgn0266918,-0.198,0.01143403027750305,0.9452
XLOC_001652,XLOC_001652,0.198,0.011456558417399095,0.9452
FBgn0031424,VGlut,-0.198,0.011494416474073874,0.9452
XLOC_032050,XLOC_032050,-0.198,0.011556199270100962,0.9452
FBgn0035087,CG2765,-0.198,0.011705588431891394,0.9452
FBgn0026268,antdh,-0.197,0.011783328370348246,0.9452
XLOC_031698,XLOC_031698,-0.197,0.01193493964018369,0.9452
FBgn0039844,CG1607,-0.197,0.011941187785947275,0.9452
FBgn0051388,CG31388,-0.197,0.01206181376126355,0.9452
FBgn0000454,Dip-B,0.197,0.012062294618824073,0.9452
XLOC_006230,XLOC_006230,0.197,0.012159777314000947,0.9452
FBgn0028519,CG4500,-0.197,0.01217408671235855,0.9452
XLOC_019109,XLOC_019109,0.196,0.012240360807059888,0.9452
XLOC_028549,XLOC_028549,-0.196,0.012616166195843192,0.9452
FBgn0032919,CG9253,0.196,0.01264954239864163,0.9452
FBgn0036627,Grp,-0.195,0.01267036665839596,0.9452
FBgn0035621,CG10591,-0.195,0.012698514279982276,0.9452
